Time_Index,TRE_batteries_1,TRE_biomass_1,TRE_conventional_hydroelectric_1,TRE_conventional_steam_coal_1,TRE_conventional_steam_coal_2,TRE_natural_gas_fired_combined_cycle_1,TRE_natural_gas_fired_combined_cycle_2,TRE_natural_gas_fired_combustion_turbine_1,TRE_natural_gas_fired_combustion_turbine_2,TRE_natural_gas_internal_combustion_engine_1,TRE_natural_gas_steam_turbine_1,TRE_nuclear_1,TRE_onshore_wind_turbine_1,TRE_petroleum_liquids_1,TRE_small_hydroelectric_1,TRE_solar_photovoltaic_1,TREW_batteries_1,TREW_natural_gas_fired_combined_cycle_1,TREW_natural_gas_fired_combined_cycle_2,TREW_natural_gas_fired_combustion_turbine_1,TREW_natural_gas_fired_combustion_turbine_2,TREW_natural_gas_internal_combustion_engine_1,TREW_onshore_wind_turbine_1,TREW_petroleum_liquids_1,TREW_solar_photovoltaic_1,TRE_naturalgas_hframe_cc_moderate_0,TRE_naturalgas_fframe_ct_moderate_0,TRE_battery_moderate_0,TRE_nuclear_nuclear_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_landbasedwind_class3_moderate_1,TRE_landbasedwind_class3_moderate_2,TRE_landbasedwind_class3_moderate_3,TREW_naturalgas_hframe_cc_moderate_0,TREW_naturalgas_fframe_ct_moderate_0,TREW_battery_moderate_0,TREW_nuclear_nuclear_moderate_0,TREW_utilitypv_class1_moderate_1,TREW_utilitypv_class1_moderate_2,TREW_utilitypv_class1_moderate_3,TREW_landbasedwind_class3_moderate_1,TREW_landbasedwind_class3_moderate_2,TREW_landbasedwind_class3_moderate_3
383,1,1,0.000,1,1,1,1,1,1,1,1,1,0.343,1,1,0.000,1,1,1,1,1,1,0.416,1,0.000,1,1,1,1,0.000,0.000,0.669,0.685,0.689,1,1,1,1,0.000,0.000,0.000,0.692,0.497,0.568
384,1,1,0.000,1,1,1,1,1,1,1,1,1,0.373,1,1,0.000,1,1,1,1,1,1,0.359,1,0.000,1,1,1,1,0.000,0.000,0.631,0.705,0.672,1,1,1,1,0.000,0.000,0.000,0.666,0.527,0.579
385,1,1,0.034,1,1,1,1,1,1,1,1,1,0.063,1,1,0.000,1,1,1,1,1,1,0.207,1,0.000,1,1,1,1,0.000,0.000,0.155,0.077,0.026,1,1,1,1,0.000,0.000,0.000,0.275,0.220,0.102
386,1,1,0.034,1,1,1,1,1,1,1,1,1,0.049,1,1,0.000,1,1,1,1,1,1,0.234,1,0.000,1,1,1,1,0.000,0.000,0.137,0.072,0.019,1,1,1,1,0.000,0.000,0.000,0.295,0.237,0.112
387,1,1,0.034,1,1,1,1,1,1,1,1,1,0.043,1,1,0.000,1,1,1,1,1,1,0.232,1,0.000,1,1,1,1,0.000,0.000,0.130,0.053,0.013,1,1,1,1,0.000,0.000,0.000,0.290,0.213,0.114
388,1,1,0.034,1,1,1,1,1,1,1,1,1,0.022,1,1,0.000,1,1,1,1,1,1,0.208,1,0.000,1,1,1,1,0.000,0.000,0.077,0.044,0.011,1,1,1,1,0.000,0.000,0.000,0.259,0.198,0.117
389,1,1,0.034,1,1,1,1,1,1,1,1,1,0.015,1,1,0.000,1,1,1,1,1,1,0.189,1,0.000,1,1,1,1,0.000,0.000,0.059,0.039,0.008,1,1,1,1,0.000,0.000,0.000,0.225,0.156,0.092
390,1,1,0.034,1,1,1,1,1,1,1,1,1,0.023,1,1,0.000,1,1,1,1,1,1,0.181,1,0.000,1,1,1,1,0.000,0.000,0.076,0.044,0.009,1,1,1,1,0.000,0.000,0.000,0.206,0.155,0.107
391,1,1,0.034,1,1,1,1,1,1,1,1,1,0.014,1,1,0.000,1,1,1,1,1,1,0.138,1,0.000,1,1,1,1,0.000,0.000,0.038,0.027,0.007,1,1,1,1,0.000,0.000,0.000,0.191,0.180,0.121
392,1,1,0.034,1,1,1,1,1,1,1,1,1,0.015,1,1,0.000,1,1,1,1,1,1,0.158,1,0.000,1,1,1,1,0.000,0.000,0.043,0.037,0.007,1,1,1,1,0.000,0.000,0.000,0.226,0.173,0.116
393,1,1,0.034,1,1,1,1,1,1,1,1,1,0.018,1,1,0.000,1,1,1,1,1,1,0.134,1,0.000,1,1,1,1,0.000,0.000,0.051,0.039,0.007,1,1,1,1,0.000,0.000,0.000,0.200,0.191,0.136
394,1,1,0.034,1,1,1,1,1,1,1,1,1,0.027,1,1,0.262,1,1,1,1,1,1,0.114,1,0.252,1,1,1,1,0.339,0.330,0.072,0.044,0.008,1,1,1,1,0.241,0.243,0.240,0.178,0.200,0.139
395,1,1,0.034,1,1,1,1,1,1,1,1,1,0.077,1,1,0.543,1,1,1,1,1,1,0.238,1,0.541,1,1,1,1,0.554,0.552,0.188,0.086,0.017,1,1,1,1,0.520,0.520,0.520,0.333,0.215,0.105
396,1,1,0.034,1,1,1,1,1,1,1,1,1,0.171,1,1,0.646,1,1,1,1,1,1,0.413,1,0.695,1,1,1,1,0.657,0.652,0.374,0.174,0.055,1,1,1,1,0.670,0.672,0.670,0.489,0.305,0.109
397,1,1,0.034,1,1,1,1,1,1,1,1,1,0.183,1,1,0.693,1,1,1,1,1,1,0.416,1,0.797,1,1,1,1,0.740,0.737,0.479,0.197,0.073,1,1,1,1,0.764,0.765,0.765,0.530,0.384,0.157
398,1,1,0.034,1,1,1,1,1,1,1,1,1,0.187,1,1,0.792,1,1,1,1,1,1,0.399,1,0.833,1,1,1,1,0.779,0.772,0.549,0.234,0.102,1,1,1,1,0.801,0.801,0.800,0.531,0.420,0.201
399,1,1,0.034,1,1,1,1,1,1,1,1,1,0.220,1,1,0.756,1,1,1,1,1,1,0.401,1,0.833,1,1,1,1,0.773,0.757,0.572,0.260,0.145,1,1,1,1,0.800,0.800,0.800,0.572,0.448,0.229
400,1,1,0.034,1,1,1,1,1,1,1,1,1,0.202,1,1,0.710,1,1,1,1,1,1,0.379,1,0.792,1,1,1,1,0.710,0.694,0.521,0.268,0.153,1,1,1,1,0.763,0.763,0.764,0.560,0.441,0.276
401,1,1,0.034,1,1,1,1,1,1,1,1,1,0.225,1,1,0.586,1,1,1,1,1,1,0.385,1,0.694,1,1,1,1,0.601,0.590,0.555,0.294,0.153,1,1,1,1,0.673,0.673,0.674,0.535,0.474,0.224
402,1,1,0.034,1,1,1,1,1,1,1,1,1,0.216,1,1,0.410,1,1,1,1,1,1,0.367,1,0.525,1,1,1,1,0.431,0.429,0.554,0.285,0.140,1,1,1,1,0.519,0.518,0.521,0.512,0.459,0.297
403,1,1,0.034,1,1,1,1,1,1,1,1,1,0.111,1,1,0.124,1,1,1,1,1,1,0.220,1,0.251,1,1,1,1,0.144,0.146,0.304,0.154,0.080,1,1,1,1,0.266,0.264,0.269,0.305,0.354,0.240
404,1,1,0.034,1,1,1,1,1,1,1,1,1,0.060,1,1,0.000,1,1,1,1,1,1,0.127,1,0.000,1,1,1,1,0.000,0.000,0.158,0.077,0.037,1,1,1,1,0.000,0.000,0.000,0.144,0.233,0.141
405,1,1,0.034,1,1,1,1,1,1,1,1,1,0.056,1,1,0.000,1,1,1,1,1,1,0.136,1,0.000,1,1,1,1,0.000,0.000,0.150,0.087,0.029,1,1,1,1,0.000,0.000,0.000,0.115,0.178,0.103
406,1,1,0.034,1,1,1,1,1,1,1,1,1,0.052,1,1,0.000,1,1,1,1,1,1,0.151,1,0.000,1,1,1,1,0.000,0.000,0.130,0.083,0.025,1,1,1,1,0.000,0.000,0.000,0.152,0.209,0.122
407,1,1,0.035,1,1,1,1,1,1,1,1,1,0.063,1,1,0.000,1,1,1,1,1,1,0.172,1,0.000,1,1,1,1,0.000,0.000,0.160,0.097,0.020,1,1,1,1,0.000,0.000,0.000,0.192,0.220,0.121
408,1,1,0.035,1,1,1,1,1,1,1,1,1,0.065,1,1,0.000,1,1,1,1,1,1,0.207,1,0.000,1,1,1,1,0.000,0.000,0.146,0.095,0.021,1,1,1,1,0.000,0.000,0.000,0.215,0.215,0.127
409,1,1,0.035,1,1,1,1,1,1,1,1,1,0.057,1,1,0.000,1,1,1,1,1,1,0.234,1,0.000,1,1,1,1,0.000,0.000,0.161,0.101,0.018,1,1,1,1,0.000,0.000,0.000,0.217,0.211,0.109
410,1,1,0.035,1,1,1,1,1,1,1,1,1,0.072,1,1,0.000,1,1,1,1,1,1,0.199,1,0.000,1,1,1,1,0.000,0.000,0.158,0.085,0.010,1,1,1,1,0.000,0.000,0.000,0.204,0.204,0.102
411,1,1,0.035,1,1,1,1,1,1,1,1,1,0.074,1,1,0.000,1,1,1,1,1,1,0.178,1,0.000,1,1,1,1,0.000,0.000,0.149,0.076,0.009,1,1,1,1,0.000,0.000,0.000,0.226,0.213,0.108
412,1,1,0.035,1,1,1,1,1,1,1,1,1,0.056,1,1,0.000,1,1,1,1,1,1,0.172,1,0.000,1,1,1,1,0.000,0.000,0.142,0.079,0.008,1,1,1,1,0.000,0.000,0.000,0.205,0.172,0.082
413,1,1,0.035,1,1,1,1,1,1,1,1,1,0.038,1,1,0.000,1,1,1,1,1,1,0.174,1,0.000,1,1,1,1,0.000,0.000,0.104,0.046,0.005,1,1,1,1,0.000,0.000,0.000,0.249,0.163,0.103
414,1,1,0.035,1,1,1,1,1,1,1,1,1,0.035,1,1,0.000,1,1,1,1,1,1,0.120,1,0.000,1,1,1,1,0.000,0.000,0.078,0.038,0.003,1,1,1,1,0.000,0.000,0.000,0.181,0.155,0.100
415,1,1,0.035,1,1,1,1,1,1,1,1,1,0.034,1,1,0.000,1,1,1,1,1,1,0.107,1,0.000,1,1,1,1,0.000,0.000,0.073,0.021,0.003,1,1,1,1,0.000,0.000,0.000,0.209,0.149,0.100
416,1,1,0.035,1,1,1,1,1,1,1,1,1,0.042,1,1,0.000,1,1,1,1,1,1,0.150,1,0.000,1,1,1,1,0.000,0.000,0.086,0.026,0.003,1,1,1,1,0.000,0.000,0.000,0.265,0.199,0.113
417,1,1,0.035,1,1,1,1,1,1,1,1,1,0.040,1,1,0.000,1,1,1,1,1,1,0.147,1,0.000,1,1,1,1,0.000,0.000,0.086,0.021,0.002,1,1,1,1,0.000,0.000,0.000,0.245,0.184,0.111
418,1,1,0.035,1,1,1,1,1,1,1,1,1,0.032,1,1,0.292,1,1,1,1,1,1,0.132,1,0.231,1,1,1,1,0.325,0.325,0.067,0.017,0.003,1,1,1,1,0.227,0.232,0.230,0.206,0.188,0.112
419,1,1,0.035,1,1,1,1,1,1,1,1,1,0.065,1,1,0.519,1,1,1,1,1,1,0.216,1,0.512,1,1,1,1,0.531,0.533,0.143,0.045,0.009,1,1,1,1,0.491,0.504,0.502,0.327,0.294,0.107
420,1,1,0.035,1,1,1,1,1,1,1,1,1,0.152,1,1,0.622,1,1,1,1,1,1,0.287,1,0.668,1,1,1,1,0.620,0.623,0.351,0.114,0.037,1,1,1,1,0.657,0.663,0.661,0.399,0.315,0.097
421,1,1,0.035,1,1,1,1,1,1,1,1,1,0.164,1,1,0.686,1,1,1,1,1,1,0.289,1,0.763,1,1,1,1,0.689,0.695,0.400,0.146,0.060,1,1,1,1,0.748,0.752,0.752,0.486,0.393,0.138
422,1,1,0.035,1,1,1,1,1,1,1,1,1,0.169,1,1,0.733,1,1,1,1,1,1,0.278,1,0.801,1,1,1,1,0.720,0.715,0.397,0.187,0.081,1,1,1,1,0.785,0.788,0.787,0.463,0.407,0.198
423,1,1,0.035,1,1,1,1,1,1,1,1,1,0.179,1,1,0.755,1,1,1,1,1,1,0.338,1,0.809,1,1,1,1,0.729,0.721,0.440,0.201,0.097,1,1,1,1,0.791,0.786,0.792,0.499,0.435,0.244
424,1,1,0.035,1,1,1,1,1,1,1,1,1,0.180,1,1,0.708,1,1,1,1,1,1,0.364,1,0.760,1,1,1,1,0.688,0.679,0.429,0.199,0.107,1,1,1,1,0.754,0.754,0.757,0.454,0.432,0.300
425,1,1,0.035,1,1,1,1,1,1,1,1,1,0.246,1,1,0.586,1,1,1,1,1,1,0.273,1,0.654,1,1,1,1,0.596,0.594,0.436,0.216,0.089,1,1,1,1,0.666,0.668,0.670,0.434,0.415,0.242
426,1,1,0.035,1,1,1,1,1,1,1,1,1,0.264,1,1,0.404,1,1,1,1,1,1,0.196,1,0.490,1,1,1,1,0.430,0.434,0.428,0.268,0.127,1,1,1,1,0.513,0.517,0.519,0.363,0.390,0.247
427,1,1,0.035,1,1,1,1,1,1,1,1,1,0.213,1,1,0.140,1,1,1,1,1,1,0.135,1,0.228,1,1,1,1,0.157,0.160,0.302,0.259,0.120,1,1,1,1,0.266,0.261,0.266,0.250,0.289,0.245
428,1,1,0.035,1,1,1,1,1,1,1,1,1,0.117,1,1,0.000,1,1,1,1,1,1,0.059,1,0.000,1,1,1,1,0.000,0.000,0.149,0.136,0.061,1,1,1,1,0.000,0.000,0.000,0.107,0.207,0.170
429,1,1,0.035,1,1,1,1,1,1,1,1,1,0.100,1,1,0.000,1,1,1,1,1,1,0.064,1,0.000,1,1,1,1,0.000,0.000,0.155,0.129,0.060,1,1,1,1,0.000,0.000,0.000,0.085,0.157,0.119
430,1,1,0.035,1,1,1,1,1,1,1,1,1,0.063,1,1,0.000,1,1,1,1,1,1,0.079,1,0.000,1,1,1,1,0.000,0.000,0.133,0.112,0.060,1,1,1,1,0.000,0.000,0.000,0.119,0.215,0.171
431,1,1,0.035,1,1,1,1,1,1,1,1,1,0.078,1,1,0.000,1,1,1,1,1,1,0.151,1,0.000,1,1,1,1,0.000,0.000,0.165,0.117,0.041,1,1,1,1,0.000,0.000,0.000,0.196,0.219,0.133
432,1,1,0.035,1,1,1,1,1,1,1,1,1,0.100,1,1,0.000,1,1,1,1,1,1,0.151,1,0.000,1,1,1,1,0.000,0.000,0.185,0.131,0.054,1,1,1,1,0.000,0.000,0.000,0.229,0.233,0.149
433,1,1,0.015,1,1,1,1,1,1,1,1,1,0.161,1,1,0.000,1,1,1,1,1,1,0.156,1,0.000,1,1,1,1,0.000,0.000,0.296,0.187,0.243,1,1,1,1,0.000,0.000,0.000,0.282,0.293,0.175
434,1,1,0.015,1,1,1,1,1,1,1,1,1,0.148,1,1,0.000,1,1,1,1,1,1,0.243,1,0.000,1,1,1,1,0.000,0.000,0.290,0.153,0.115,1,1,1,1,0.000,0.000,0.000,0.327,0.296,0.135
435,1,1,0.015,1,1,1,1,1,1,1,1,1,0.177,1,1,0.000,1,1,1,1,1,1,0.241,1,0.000,1,1,1,1,0.000,0.000,0.270,0.137,0.077,1,1,1,1,0.000,0.000,0.000,0.296,0.310,0.132
436,1,1,0.015,1,1,1,1,1,1,1,1,1,0.188,1,1,0.000,1,1,1,1,1,1,0.231,1,0.000,1,1,1,1,0.000,0.000,0.317,0.138,0.060,1,1,1,1,0.000,0.000,0.000,0.306,0.341,0.145
437,1,1,0.015,1,1,1,1,1,1,1,1,1,0.189,1,1,0.000,1,1,1,1,1,1,0.225,1,0.000,1,1,1,1,0.000,0.000,0.306,0.135,0.053,1,1,1,1,0.000,0.000,0.000,0.328,0.353,0.163
438,1,1,0.015,1,1,1,1,1,1,1,1,1,0.265,1,1,0.000,1,1,1,1,1,1,0.210,1,0.000,1,1,1,1,0.000,0.000,0.360,0.180,0.089,1,1,1,1,0.000,0.000,0.000,0.268,0.314,0.151
439,1,1,0.015,1,1,1,1,1,1,1,1,1,0.197,1,1,0.000,1,1,1,1,1,1,0.172,1,0.000,1,1,1,1,0.000,0.000,0.297,0.158,0.063,1,1,1,1,0.000,0.000,0.000,0.236,0.294,0.162
440,1,1,0.015,1,1,1,1,1,1,1,1,1,0.183,1,1,0.000,1,1,1,1,1,1,0.183,1,0.000,1,1,1,1,0.000,0.000,0.312,0.141,0.062,1,1,1,1,0.000,0.000,0.000,0.262,0.325,0.191
441,1,1,0.015,1,1,1,1,1,1,1,1,1,0.197,1,1,0.000,1,1,1,1,1,1,0.145,1,0.000,1,1,1,1,0.000,0.000,0.262,0.148,0.078,1,1,1,1,0.000,0.000,0.000,0.240,0.338,0.221
442,1,1,0.015,1,1,1,1,1,1,1,1,1,0.157,1,1,0.166,1,1,1,1,1,1,0.168,1,0.041,1,1,1,1,0.163,0.186,0.279,0.124,0.102,1,1,1,1,0.023,0.025,0.026,0.250,0.319,0.204
443,1,1,0.015,1,1,1,1,1,1,1,1,1,0.141,1,1,0.472,1,1,1,1,1,1,0.166,1,0.442,1,1,1,1,0.480,0.481,0.225,0.099,0.045,1,1,1,1,0.455,0.443,0.430,0.275,0.349,0.206
444,1,1,0.015,1,1,1,1,1,1,1,1,1,0.093,1,1,0.642,1,1,1,1,1,1,0.123,1,0.682,1,1,1,1,0.661,0.660,0.111,0.046,0.027,1,1,1,1,0.661,0.655,0.654,0.211,0.303,0.144
445,1,1,0.015,1,1,1,1,1,1,1,1,1,0.054,1,1,0.795,1,1,1,1,1,1,0.088,1,0.820,1,1,1,1,0.754,0.738,0.045,0.026,0.022,1,1,1,1,0.784,0.778,0.779,0.123,0.184,0.084
446,1,1,0.015,1,1,1,1,1,1,1,1,1,0.044,1,1,0.837,1,1,1,1,1,1,0.164,1,0.891,1,1,1,1,0.828,0.825,0.074,0.039,0.032,1,1,1,1,0.848,0.845,0.847,0.224,0.269,0.087
447,1,1,0.015,1,1,1,1,1,1,1,1,1,0.068,1,1,0.892,1,1,1,1,1,1,0.265,1,0.915,1,1,1,1,0.869,0.858,0.152,0.089,0.062,1,1,1,1,0.875,0.870,0.872,0.271,0.302,0.090
448,1,1,0.015,1,1,1,1,1,1,1,1,1,0.131,1,1,0.865,1,1,1,1,1,1,0.298,1,0.894,1,1,1,1,0.835,0.829,0.195,0.111,0.041,1,1,1,1,0.855,0.851,0.854,0.284,0.312,0.097
449,1,1,0.015,1,1,1,1,1,1,1,1,1,0.136,1,1,0.757,1,1,1,1,1,1,0.315,1,0.819,1,1,1,1,0.749,0.747,0.261,0.116,0.037,1,1,1,1,0.787,0.784,0.787,0.269,0.272,0.101
450,1,1,0.015,1,1,1,1,1,1,1,1,1,0.152,1,1,0.578,1,1,1,1,1,1,0.285,1,0.675,1,1,1,1,0.587,0.589,0.286,0.117,0.034,1,1,1,1,0.655,0.652,0.657,0.209,0.274,0.122
451,1,1,0.015,1,1,1,1,1,1,1,1,1,0.138,1,1,0.305,1,1,1,1,1,1,0.177,1,0.437,1,1,1,1,0.329,0.333,0.203,0.117,0.080,1,1,1,1,0.435,0.433,0.439,0.142,0.220,0.140
452,1,1,0.015,1,1,1,1,1,1,1,1,1,0.121,1,1,0.000,1,1,1,1,1,1,0.137,1,0.006,1,1,1,1,0.000,0.000,0.211,0.130,0.097,1,1,1,1,0.000,0.000,0.000,0.144,0.255,0.197
453,1,1,0.015,1,1,1,1,1,1,1,1,1,0.149,1,1,0.000,1,1,1,1,1,1,0.201,1,0.000,1,1,1,1,0.000,0.000,0.307,0.213,0.134,1,1,1,1,0.000,0.000,0.000,0.229,0.337,0.276
454,1,1,0.015,1,1,1,1,1,1,1,1,1,0.189,1,1,0.000,1,1,1,1,1,1,0.258,1,0.000,1,1,1,1,0.000,0.000,0.458,0.279,0.183,1,1,1,1,0.000,0.000,0.000,0.371,0.441,0.346
455,1,1,0.015,1,1,1,1,1,1,1,1,1,0.190,1,1,0.000,1,1,1,1,1,1,0.300,1,0.000,1,1,1,1,0.000,0.000,0.512,0.271,0.228,1,1,1,1,0.000,0.000,0.000,0.431,0.516,0.359
456,1,1,0.015,1,1,1,1,1,1,1,1,1,0.202,1,1,0.000,1,1,1,1,1,1,0.380,1,0.000,1,1,1,1,0.000,0.000,0.581,0.345,0.323,1,1,1,1,0.000,0.000,0.000,0.566,0.594,0.354
457,1,1,0.015,1,1,1,1,1,1,1,1,1,0.268,1,1,0.000,1,1,1,1,1,1,0.381,1,0.000,1,1,1,1,0.000,0.000,0.631,0.391,0.396,1,1,1,1,0.000,0.000,0.000,0.518,0.611,0.343
458,1,1,0.015,1,1,1,1,1,1,1,1,1,0.265,1,1,0.000,1,1,1,1,1,1,0.477,1,0.000,1,1,1,1,0.000,0.000,0.656,0.431,0.446,1,1,1,1,0.000,0.000,0.000,0.588,0.662,0.362
459,1,1,0.015,1,1,1,1,1,1,1,1,1,0.264,1,1,0.000,1,1,1,1,1,1,0.569,1,0.000,1,1,1,1,0.000,0.000,0.689,0.468,0.498,1,1,1,1,0.000,0.000,0.000,0.683,0.658,0.342
460,1,1,0.015,1,1,1,1,1,1,1,1,1,0.286,1,1,0.000,1,1,1,1,1,1,0.552,1,0.000,1,1,1,1,0.000,0.000,0.656,0.455,0.500,1,1,1,1,0.000,0.000,0.000,0.673,0.642,0.343
461,1,1,0.015,1,1,1,1,1,1,1,1,1,0.291,1,1,0.000,1,1,1,1,1,1,0.577,1,0.000,1,1,1,1,0.000,0.000,0.607,0.424,0.496,1,1,1,1,0.000,0.000,0.000,0.703,0.627,0.336
462,1,1,0.015,1,1,1,1,1,1,1,1,1,0.332,1,1,0.000,1,1,1,1,1,1,0.602,1,0.000,1,1,1,1,0.000,0.000,0.635,0.435,0.525,1,1,1,1,0.000,0.000,0.000,0.751,0.616,0.329
463,1,1,0.015,1,1,1,1,1,1,1,1,1,0.300,1,1,0.000,1,1,1,1,1,1,0.525,1,0.000,1,1,1,1,0.000,0.000,0.636,0.435,0.524,1,1,1,1,0.000,0.000,0.000,0.713,0.580,0.303
464,1,1,0.015,1,1,1,1,1,1,1,1,1,0.241,1,1,0.000,1,1,1,1,1,1,0.452,1,0.000,1,1,1,1,0.000,0.000,0.653,0.430,0.519,1,1,1,1,0.000,0.000,0.000,0.572,0.508,0.302
465,1,1,0.015,1,1,1,1,1,1,1,1,1,0.273,1,1,0.000,1,1,1,1,1,1,0.444,1,0.000,1,1,1,1,0.000,0.000,0.644,0.412,0.502,1,1,1,1,0.000,0.000,0.000,0.500,0.425,0.256
466,1,1,0.015,1,1,1,1,1,1,1,1,1,0.241,1,1,0.228,1,1,1,1,1,1,0.344,1,0.121,1,1,1,1,0.259,0.259,0.626,0.384,0.469,1,1,1,1,0.121,0.096,0.084,0.386,0.326,0.214
467,1,1,0.015,1,1,1,1,1,1,1,1,1,0.184,1,1,0.526,1,1,1,1,1,1,0.218,1,0.481,1,1,1,1,0.547,0.547,0.545,0.306,0.413,1,1,1,1,0.459,0.455,0.451,0.292,0.257,0.182
468,1,1,0.015,1,1,1,1,1,1,1,1,1,0.091,1,1,0.719,1,1,1,1,1,1,0.154,1,0.687,1,1,1,1,0.722,0.722,0.307,0.139,0.281,1,1,1,1,0.658,0.651,0.648,0.202,0.158,0.083
469,1,1,0.015,1,1,1,1,1,1,1,1,1,0.057,1,1,0.846,1,1,1,1,1,1,0.092,1,0.816,1,1,1,1,0.822,0.821,0.192,0.098,0.212,1,1,1,1,0.783,0.776,0.774,0.092,0.074,0.035
470,1,1,0.015,1,1,1,1,1,1,1,1,1,0.040,1,1,0.896,1,1,1,1,1,1,0.048,1,0.881,1,1,1,1,0.865,0.865,0.097,0.051,0.117,1,1,1,1,0.842,0.837,0.838,0.055,0.038,0.019
471,1,1,0.015,1,1,1,1,1,1,1,1,1,0.029,1,1,0.900,1,1,1,1,1,1,0.064,1,0.901,1,1,1,1,0.865,0.866,0.066,0.048,0.135,1,1,1,1,0.862,0.860,0.861,0.089,0.069,0.030
472,1,1,0.015,1,1,1,1,1,1,1,1,1,0.027,1,1,0.868,1,1,1,1,1,1,0.051,1,0.879,1,1,1,1,0.833,0.834,0.036,0.040,0.183,1,1,1,1,0.842,0.840,0.842,0.080,0.084,0.049
473,1,1,0.015,1,1,1,1,1,1,1,1,1,0.038,1,1,0.760,1,1,1,1,1,1,0.057,1,0.807,1,1,1,1,0.750,0.752,0.031,0.031,0.183,1,1,1,1,0.779,0.776,0.779,0.116,0.109,0.085
474,1,1,0.015,1,1,1,1,1,1,1,1,1,0.056,1,1,0.584,1,1,1,1,1,1,0.068,1,0.667,1,1,1,1,0.595,0.599,0.039,0.052,0.132,1,1,1,1,0.650,0.648,0.652,0.135,0.141,0.108
475,1,1,0.015,1,1,1,1,1,1,1,1,1,0.080,1,1,0.318,1,1,1,1,1,1,0.080,1,0.435,1,1,1,1,0.338,0.347,0.058,0.074,0.181,1,1,1,1,0.439,0.436,0.441,0.142,0.185,0.124
476,1,1,0.015,1,1,1,1,1,1,1,1,1,0.116,1,1,0.000,1,1,1,1,1,1,0.118,1,0.010,1,1,1,1,0.000,0.000,0.102,0.117,0.209,1,1,1,1,0.000,0.000,0.000,0.181,0.258,0.209
477,1,1,0.015,1,1,1,1,1,1,1,1,1,0.171,1,1,0.000,1,1,1,1,1,1,0.301,1,0.000,1,1,1,1,0.000,0.000,0.196,0.224,0.220,1,1,1,1,0.000,0.000,0.000,0.395,0.495,0.406
478,1,1,0.015,1,1,1,1,1,1,1,1,1,0.223,1,1,0.000,1,1,1,1,1,1,0.381,1,0.000,1,1,1,1,0.000,0.000,0.358,0.295,0.262,1,1,1,1,0.000,0.000,0.000,0.532,0.602,0.421
479,1,1,0.015,1,1,1,1,1,1,1,1,1,0.230,1,1,0.000,1,1,1,1,1,1,0.403,1,0.000,1,1,1,1,0.000,0.000,0.464,0.361,0.286,1,1,1,1,0.000,0.000,0.000,0.634,0.694,0.443
480,1,1,0.015,1,1,1,1,1,1,1,1,1,0.244,1,1,0.000,1,1,1,1,1,1,0.433,1,0.000,1,1,1,1,0.000,0.000,0.508,0.380,0.307,1,1,1,1,0.000,0.000,0.000,0.699,0.715,0.426
